1581535812037,4151,2412262,97,2419277,24,2413654,121
1581536172043,4151,2412297,80,2420442,31,2414572,111
1581536532046,4151,2412356,80,2421021,25,2414419,105
1581536892044,4151,2412372,80,2421361,25,2414512,105
1581537252045,4151,2412464,82,2422028,23,2414559,105
1581537612049,4151,2412479,82,2422028,23,2414570,105
1581537972049,4151,2412508,82,2421554,24,2414556,106
1581538332050,4151,2412534,88,2420857,27,2414488,115
1581538692052,4151,2412534,88,2419840,24,2414100,112
1581539052056,4151,2413855,25,2419007,22,2416267,47
1581539412059,4151,2413841,26,2418643,21,2415986,47
1581539772059,4151,2414034,29,2416416,20,2415006,49
1581540132060,4151,2413957,29,2416553,21,2415047,50
1581540492064,4151,2416460,38,2416562,22,2416497,60
1581540852063,4151,2416640,37,2416828,24,2416714,61
1581541212065,4151,2416573,38,2417008,25,2416746,63
1581541572066,4151,2416775,36,2418646,32,2417656,68
1581541932066,4151,2418015,30,2419417,28,2418692,58
1581542292069,4151,2418176,31,2419651,30,2418902,61
1581542652068,4151,2418285,30,2419839,32,2419087,62
1581543012073,4151,2419154,32,2420308,32,2419731,64
1581543372070,4151,2421768,45,2421005,45,2421386,90
1581543732072,4151,2423126,51,2421020,47,2422116,98
1581544092073,4151,2423017,41,2421132,48,2422000,89
1581544452073,4151,2423361,42,2421086,50,2422124,92
1581544812074,4151,2423574,43,2421146,50,2422269,93
1581545172075,4151,2423173,49,2421497,46,2422361,95
1581545532083,4151,2423228,49,2421678,46,2422478,95
1581545892082,4151,2423233,48,2421611,45,2422448,93
1581546252081,4151,2423139,50,2421722,45,2422468,95
1581546612082,4151,2423102,39,2421157,35,2422182,74
1581546972089,4151,2422116,33,2422605,25,2422327,58
1581547332088,4151,2420143,28,2422870,22,2421343,50
1581547692090,4151,2420146,30,2423271,21,2421433,51
1581548052089,4151,2420253,28,2424126,19,2421819,47
1581548412094,4151,2420279,27,2424165,19,2421884,46
1581548772097,4151,2420461,22,2424692,18,2422365,40
1581549132097,4151,2420440,21,2424372,18,2422255,39
